,0
0,0.6372035140222799
1,0.6903264203869491
2,0.36972735051702965
3,0.9987609588554239
4,0.8369934898571926
5,0.3605866050933212
6,0.9379382414708498
7,0.44364483949152045
8,0.5857866566016872
9,0.45062962421467234
10,0.9634994368035774
11,0.5337947755620737
12,0.8732970820252518
13,0.5516586920529499
14,0.3412750910058099
15,0.873947436285701
16,0.032339238160036254
17,0.676319164495367
18,0.7944865263195395
19,0.27711037307306374
20,0.8646581442735704
21,0.4948221647151716
22,0.12181904159214718
23,0.02492071135721441
24,0.3086884215117358
25,0.037458181186692086
26,0.7172172238969358
27,0.03915920520242855
28,0.5245385480914858
29,0.45558366561975916
30,0.7893211786591806
31,0.5386473471875829
32,0.5181386888345764
33,0.5840520740335725
