,0
0,0.337897788123095
1,0.3037823456978552
2,0.8557601474419549
3,0.5592192747626371
4,0.12708371737592472
5,0.5084597207750021
6,0.8797480673445854
7,0.31186356144312455
8,0.07461906948537222
9,0.834211063631435
10,0.669968325470006
11,0.06616978524169903
12,0.43144259792196404
13,0.8818478421990628
14,0.005087197456548842
15,0.1364690679349817
16,0.22670576817279287
17,0.013832485500247071
18,0.6141324831664312
19,0.1616884825667173
20,0.6262264774627
21,0.9405257829677703
22,0.04742486507507793
23,0.20998116137217038
24,0.7598281216542974
25,0.3546140739296897
26,0.1257096374467973
27,0.5427701748472739
28,0.9274321876789959
29,0.015652080233175436
30,0.4910536153035173
31,0.805438509844745
